[1509723037.790904, '1']
[1509723037.862295, '1']
[1509723037.922441, '1']
[1509723037.986764, '1']
[1509723038.046467, '1']
[1509723038.111287, '1']
[1509723038.175309, '1']
[1509723038.237652, '1']
[1509723038.304213, '1']
[1509723038.375514, '1']
[1509723038.436733, '1']
[1509723038.501189, '1']
[1509723038.566833, '1']
[1509723038.627025, '1']
[1509723038.691844, '1']
